county,year,sex,age_band,population
Elgeyo-Marakwet,2021,f,10,30152.0
Elgeyo-Marakwet,2021,f,15,26575.0
Elgeyo-Marakwet,2021,f,20,19879.0
Elgeyo-Marakwet,2021,f,25,15435.0
Elgeyo-Marakwet,2021,f,30,13191.0
Elgeyo-Marakwet,2021,f,35,10181.0
Elgeyo-Marakwet,2021,f,40,8704.0
Elgeyo-Marakwet,2021,f,45,8115.0
Elgeyo-Marakwet,2021,f,50,5855.0
Elgeyo-Marakwet,2021,f,55,5074.0
Elgeyo-Marakwet,2021,f,60,3691.0
Elgeyo-Marakwet,2021,f,65,2594.0
Elgeyo-Marakwet,2021,f,70,1874.0
Elgeyo-Marakwet,2021,f,75,1343.0
Elgeyo-Marakwet,2021,f,80,884.0
Elgeyo-Marakwet,2021,f,85,462.0
Elgeyo-Marakwet,2021,f,90,292.0
Elgeyo-Marakwet,2021,m,00,6122.0
Elgeyo-Marakwet,2021,m,01,23985.0
Elgeyo-Marakwet,2021,m,05,30931.0
Elgeyo-Marakwet,2021,m,10,29871.0
Elgeyo-Marakwet,2021,m,15,26537.0
Elgeyo-Marakwet,2021,m,20,21003.0
Elgeyo-Marakwet,2021,m,25,15741.0
Elgeyo-Marakwet,2021,m,30,13462.0
Elgeyo-Marakwet,2021,m,35,11116.0
Elgeyo-Marakwet,2021,m,40,9010.0
Elgeyo-Marakwet,2021,m,45,8039.0
Elgeyo-Marakwet,2021,m,50,5386.0
Elgeyo-Marakwet,2021,m,55,4793.0
Elgeyo-Marakwet,2021,m,60,3455.0
Elgeyo-Marakwet,2021,m,65,2444.0
Elgeyo-Marakwet,2021,m,70,1629.0
Elgeyo-Marakwet,2021,m,75,956.0
Elgeyo-Marakwet,2021,m,80,492.0
Elgeyo-Marakwet,2021,m,85,229.0
Elgeyo-Marakwet,2021,m,90,131.0
Embu,2021,f,00,6908.0
Embu,2021,f,01,27086.0
Embu,2021,f,05,32615.0
Embu,2021,f,10,35569.0
Embu,2021,f,15,34757.0
Embu,2021,f,20,27555.0
Embu,2021,f,25,22963.0
Embu,2021,f,30,23626.0
Embu,2021,f,35,24057.0
Embu,2021,f,40,19722.0
Embu,2021,f,45,17472.0
Embu,2021,f,50,15859.0
Embu,2021,f,55,12777.0
Embu,2021,f,60,8082.0
Embu,2021,f,65,6148.0
Embu,2021,f,70,4246.0
Embu,2021,f,75,2797.0
Embu,2021,f,80,2270.0
Embu,2021,f,85,1558.0
Embu,2021,f,90,1011.0
Embu,2021,m,00,7123.0
Embu,2021,m,01,27907.0
Embu,2021,m,05,33065.0
Embu,2021,m,10,35873.0
Embu,2021,m,15,35226.0
Embu,2021,m,20,29682.0
Embu,2021,m,25,25419.0
Embu,2021,m,30,25555.0
Embu,2021,m,35,25260.0
Embu,2021,m,40,20618.0
Embu,2021,m,45,17243.0
Embu,2021,m,50,14529.0
Embu,2021,m,55,11931.0
